STUDENTID,COURSENAMEENG,SUBGROUP,MAINGROUP
6311810,ASEAN Studies,Social Science Course,General Education Course 
6314050,Chinese 1,Language Course,General Education Course 
6311810,Organization and Management,Social Science Course,General Education Course 
6311810,Discrete Mathematics,Core Course,Specific Required Course
6311810,Principles of Physics,Core Course,Specific Required Course
6311810,Microprocessor and Assembly Language,Core Course,Specific Required Course
6311810,Data Communications and Networks,Major Required Course,Specific Required Course
6311810,English 2,Language Course,General Education Course 
6311810,Object-Oriented Programming,Major Required Course,Specific Required Course
6311810,Computer Networks,Major Required Course,Specific Required Course
6311810,Microprocessor Applications,Major Required Course,Specific Required Course
6311810,Data Structures and Algorithms,Major Required Course,Specific Required Course
6311810,English 3,Language Course,General Education Course 
6311810,Man and Society,Humanities Course,General Education Course 
6311810,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6311810,Probability and Statistics,Core Course,Specific Required Course
6311810,Database Systems,Major Required Course,Specific Required Course
6311810,Operating Systems,Major Required Course,Specific Required Course
6311810,ASEAN Foods,Major Elective Course,Major Elective Course
6311810,Embedded Systems,Major Elective Course,Specific Required Course
6311810,Computer Architecture,Major Required Course,Specific Required Course
6311810,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6311810,Senior Project 1,Major Required Course,Specific Required Course
6311810,Parallel Processing,Major Required Course,Specific Required Course
6311810,Sensors and Sensor Networks,Major Elective Course,Specific Required Course
6311810,Network System Security,Major Required Course,Specific Required Course
6311810,Introduction to Software Engineering,Major Required Course,Specific Required Course
6311810,Real Time Operating System,Major Elective Course,Specific Required Course
6311810,Web Design and Development,Major Elective Course,Major Elective Course
6311810,Senior Project 2,Major Required Course,Specific Required Course
6311810,Introduction to Economics,Social Science Course,General Education Course 
6311810,Co-operative Education,Major Required Course,Specific Required Course
6312010,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6312010,Engineering Drawing,Core Course,Specific Required Course
6312010,Electric Circuit Analysis,Core Course,Specific Required Course
6312010,Mathematics 1,Core Course,Specific Required Course
6312010,Intensive English,Major Elective Course,Major Elective Course
6312010,Thai Language Skills,Language Course,General Education Course 
6312010,Basic Information Technology,Science and Mathematics Course,General Education Course 
6312010,Digital and Computer Systems Laboratory,Core Course,Specific Required Course
6312010,Computer Programming,Core Course,Specific Required Course
6312010,Digital Circuit and Logic Design,Core Course,Specific Required Course
6312010,Fundamental Electronics,Core Course,Specific Required Course
6312010,Mathematics 2,Core Course,Specific Required Course
6312010,Computer Engineering Application,Major Required Course,Specific Required Course
6312010,Data Communications and Networks,Major Required Course,Specific Required Course
6312010,Probability and Statistics,Core Course,Specific Required Course
6312010,Principles of Physics,Core Course,Specific Required Course
6312010,Microprocessor and Assembly Language,Core Course,Specific Required Course
6314150,Chinese 1,Language Course,General Education Course 
6312010,Object-Oriented Programming,Major Required Course,Specific Required Course
6312010,Microprocessor Applications,Major Required Course,Specific Required Course
6312010,Data Structures and Algorithms,Major Required Course,Specific Required Course
6312010,English 2,Language Course,General Education Course 
6312010,Man and Society,Humanities Course,General Education Course 
6312010,Organization and Management,Social Science Course,General Education Course 
6312010,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6312010,Computer Networks,Major Required Course,Specific Required Course
6312010,Mathematics 2,Core Course,Specific Required Course
6312010,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6312010,Database Systems,Major Required Course,Specific Required Course
6312010,Introduction to Economics,Social Science Course,General Education Course 
6312010,Discrete Mathematics,Core Course,Specific Required Course
6312010,Embedded Systems,Major Elective Course,Specific Required Course
6312010,English 3,Language Course,General Education Course 
6312010,Operating Systems,Major Required Course,Specific Required Course
6312010,Computer Architecture,Major Required Course,Specific Required Course
6312010,Parallel Processing,Major Required Course,Specific Required Course
6312010,Real Time Operating System,Major Elective Course,Specific Required Course
6312010,ASEAN Studies,Social Science Course,General Education Course 
6312010,Principles of Crop Produces,Major Elective Course,Major Elective Course
6312010,Sensors and Sensor Networks,Major Elective Course,Specific Required Course
6312010,Introduction to Software Engineering,Major Required Course,Specific Required Course
6312010,Senior Project 1,Major Required Course,Specific Required Course
6312010,Network System Security,Major Required Course,Specific Required Course
6312010,Senior Project 2,Major Required Course,Specific Required Course
6312010,Web Design and Development,Major Elective Course,Major Elective Course
6312010,Co-operative Education,Major Required Course,Specific Required Course
6312110,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6312110,Engineering Drawing,Core Course,Specific Required Course
6312110,Electric Circuit Analysis,Core Course,Specific Required Course
